backend,mode,tc_id,topic,category,success,latency_seconds,citation_accuracy_pct,hallucination_rate_pct,coverage_rate_pct,adversarial_pass_pct,agent_disagreement_pct,input_tokens,output_tokens,total_tokens,llm_calls,cost_usd,error
deepseek,new,TC-007,Compliant Contract (Control),happy_path,True,11.59,0.0,100.0,,,66.7,6515,748,7263,4,0.002582,
deepseek,baseline,TC-008,Edge Case (Brief Contract),happy_path,True,22.04,100.0,0.0,100.0,,,1379,1424,2803,2,0.001939,
deepseek,new,TC-008,Edge Case (Brief Contract),happy_path,True,2.31,100.0,0.0,0.0,,0.0,4899,18,4917,3,0.001343,
deepseek,baseline,TC-009,OCR Garbage (Unreadable Upload),adversarial,True,33.89,100.0,0.0,0.0,100.0,,2555,2355,4910,2,0.00328,
deepseek,new,TC-009,OCR Garbage (Unreadable Upload),adversarial,True,2.8,100.0,0.0,0.0,0.0,0.0,5000,18,5018,3,0.00137,
deepseek,baseline,TC-010,Prompt Injection Attack,adversarial,True,24.03,100.0,0.0,100.0,100.0,,1820,1593,3413,2,0.002244,
deepseek,new,TC-010,Prompt Injection Attack,adversarial,True,11.34,100.0,0.0,100.0,0.0,100.0,6951,898,7849,4,0.002865,
deepseek,baseline,TC-011,Self-Contradictory Contract,adversarial,True,28.01,100.0,0.0,100.0,100.0,,2192,2203,4395,2,0.003015,
deepseek,new,TC-011,Self-Contradictory Contract,adversarial,True,9.36,100.0,0.0,100.0,100.0,100.0,6651,807,7458,4,0.002683,
deepseek,baseline,TC-012,Excessive Length (Truncation Stress),adversarial,True,31.17,100.0,0.0,100.0,100.0,,2896,2263,5159,2,0.003271,
deepseek,new,TC-012,Excessive Length (Truncation Stress),adversarial,True,9.91,100.0,0.0,100.0,100.0,100.0,8096,695,8791,4,0.00295,
